taxa_falsos_positivos,taxa_verdadeiros_positivos,threshold
0.0017645628179188508,0.8985623003194888,0.08127039184204352
0.0017645628179188508,0.8993610223642172,0.0812257711208592
0.0017904361730203002,0.8993610223642172,0.0802366673232071
0.0017904361730203002,0.9001597444089456,0.0800686851103342
0.00179561084404059,0.9001597444089456,0.07989111831723802
0.00179561084404059,0.9009584664536742,0.07987323357181123
0.00180078551506088,0.9009584664536742,0.07967308455314809
0.00180078551506088,0.9017571884984026,0.07954575222890649
0.00180596018608117,0.9017571884984026,0.07914030860120738
0.00180596018608117,0.902555910543131,0.07907060216426953
0.0018628815673043587,0.902555910543131,0.07757926269999423
0.0018628815673043587,0.9033546325878594,0.07757560458598846
0.001893929593426098,0.9033546325878594,0.07629226552934704
0.001893929593426098,0.9041533546325878,0.07594694309602414
0.0019456763036289969,0.9041533546325878,0.07356869192273231
0.0019456763036289969,0.9049520766773163,0.07338006950742523
0.0020388203819942147,0.9049520766773163,0.07069550721219003
0.0020388203819942147,0.9065495207667732,0.07043853761342664
0.0020439950530145045,0.9065495207667732,0.07038365280819964
0.0020439950530145045,0.90814696485623,0.07005000792331846
0.002163012486481172,0.90814696485623,0.06620544000375422
0.002163012486481172,0.9089456869009584,0.06607441525173657
0.0022613312358666796,0.9089456869009584,0.06399007331876665
0.0022613312358666796,0.9097444089456869,0.06393017811699776
0.0023130779460695788,0.9097444089456869,0.06280742481014123
0.0023130779460695788,0.9105431309904153,0.06262472366019028
0.0024062220244347966,0.9105431309904153,0.060906751303458455
0.0024062220244347966,0.9113418530351438,0.06084059151665986
0.0025148901158608843,0.9113418530351438,0.058838736025856514
0.0025148901158608843,0.9121405750798722,0.05880584012076993
0.0025562874840232034,0.9121405750798722,0.058059991907124936
0.0025562874840232034,0.9129392971246006,0.05790269076559753
0.0026908289305507403,0.9129392971246006,0.055774561968247
0.0026908289305507403,0.9137380191693291,0.0557132854603909
0.002783973008915958,0.9137380191693291,0.05381362713515438
0.002783973008915958,0.9145367412140575,0.05362209177473173
0.0028564184032000167,0.9145367412140575,0.052195107157134046
0.0028564184032000167,0.9153354632587859,0.0521581687502023
0.002871942416260886,0.9153354632587859,0.05193750924710726
0.002871942416260886,0.9161341853035144,0.05192370519244867
0.002892641100342046,0.9161341853035144,0.05148153196853408
0.002892641100342046,0.9169329073482428,0.05144213788895457
0.0030789292570724816,0.9169329073482428,0.048877110613760676
0.0030789292570724816,0.9177316293929713,0.04886945402876967
0.003104802612173931,0.9177316293929713,0.04845973831277672
0.003104802612173931,0.9185303514376997,0.04834695278584347
0.003109977283194221,0.9185303514376997,0.04832692195913163
0.003109977283194221,0.9193290734824281,0.04824884519016942
0.0032082960325797286,0.9193290734824281,0.047243645297867586
0.0032082960325797286,0.920926517571885,0.047099473686702184
0.0032134707036000185,0.920926517571885,0.04699927561242146
0.0032134707036000185,0.9217252396166135,0.04690391830975929
0.0032600427427826274,0.9217252396166135,0.046532096764210336
0.0032600427427826274,0.9233226837060703,0.046323786780982354
0.003332488137066686,0.9233226837060703,0.04550562212052885
0.003332488137066686,0.9241214057507987,0.04529453602245257
0.0033376628080869757,0.9241214057507987,0.045259578811479344
0.0033376628080869757,0.9257188498402555,0.04511616258256008
0.0033428374791072656,0.9257188498402555,0.04509703804192483
0.0033428374791072656,0.9265175718849841,0.04509336113667007
0.003348012150127556,0.9265175718849841,0.04507272204653501
0.003348012150127556,0.9273162939297125,0.04503910237469598
0.0033583614921681355,0.9273162939297125,0.04480400059644646
0.0033583614921681355,0.9281150159744409,0.044758547367804054
0.0033997588603304546,0.9281150159744409,0.0442942580387005
0.0033997588603304546,0.9289137380191693,0.04416548144570207
0.0035705230040000207,0.9289137380191693,0.0426592543469095
0.0035705230040000207,0.9297124600638977,0.04264833572481367
0.0036636670823652386,0.9297124600638977,0.04159745961981552
0.0036636670823652386,0.9305111821086262,0.04154409626221562
0.003674016424405818,0.9305111821086262,0.04146378649253508
0.003674016424405818,0.9313099041533547,0.04141822541327238
0.003736112476649297,0.9313099041533547,0.040869189460216844
0.003736112476649297,0.9329073482428115,0.04074170926177206
0.0038033831999130657,0.9329073482428115,0.04007711090542549
0.0038033831999130657,0.9337060702875399,0.03998368626648344
0.003932749975420312,0.9337060702875399,0.0388188420475372
0.003932749975420312,0.9345047923322684,0.03880738140982251
0.003943099317460892,0.9345047923322684,0.038648623199645696
0.003943099317460892,0.9353035143769968,0.03861649731957245
0.003958623330521762,0.9353035143769968,0.03834275712974816
0.003958623330521762,0.9361022364217252,0.03832804227178562
0.003989671356643501,0.9361022364217252,0.03798274480287571
0.003989671356643501,0.9369009584664537,0.03789619096927896
0.004000020698684081,0.9369009584664537,0.03786582522666399
0.004000020698684081,0.9376996805111821,0.03784032023319902
0.004010370040724661,0.9376996805111821,0.037732222076595344
0.004010370040724661,0.9384984025559105,0.03764986996505271
0.0041293874741913286,0.9384984025559105,0.036777667346428414
0.0041293874741913286,0.939297124600639,0.03677173903438877
0.004186308855414517,0.939297124600639,0.03644679886895513
0.004186308855414517,0.9400958466453674,0.03640763714132588
0.004677902602342056,0.9400958466453674,0.0330590754116698
0.004677902602342056,0.9408945686900958,0.03303538053802994
0.004734823983565245,0.9408945686900958,0.03275296680692032
0.004734823983565245,0.9416932907348243,0.03274069839074659
0.0047762213517275635,0.9416932907348243,0.03255411092420969
0.0047762213517275635,0.9432907348242812,0.03248092517422098
0.004791745364788434,0.9432907348242812,0.03230739539141005
0.004791745364788434,0.9440894568690096,0.03228699540388855
0.004864190759072492,0.9440894568690096,0.031761460341014146
0.004864190759072492,0.944888178913738,0.03176011647579379
0.004915937469275391,0.944888178913738,0.031517150172539615
0.004915937469275391,0.9456869009584664,0.031392041431076524
0.005102225626005826,0.9456869009584664,0.03012692056500522
0.005102225626005826,0.9472843450479234,0.03011443010084132
0.005159147007229015,0.9472843450479234,0.029664744430359543
0.005159147007229015,0.9480830670926518,0.029613459429568608
0.00539718187416235,0.9480830670926518,0.028223336742999712
0.00539718187416235,0.9488817891373802,0.02822047670490031
