conjunto,metrica,iteracao,valor
learn,Logloss,59,0.008530492814239683
learn,Logloss,60,0.008513094490056182
learn,Logloss,61,0.008481872491508913
learn,Logloss,62,0.008398391428201974
learn,Logloss,63,0.008397576786857297
learn,Logloss,64,0.008331531513463757
learn,Logloss,65,0.008314027140505066
learn,Logloss,66,0.00825771420834726
learn,Logloss,67,0.008240238898879013
learn,Logloss,68,0.008218697050817009
learn,Logloss,69,0.008193495931178482
learn,Logloss,70,0.008177025707350372
learn,Logloss,71,0.008175956127876862
learn,Logloss,72,0.00812047591204772
learn,Logloss,73,0.008083378367094534
learn,Logloss,74,0.008062716893684733
learn,Logloss,75,0.008028906849282239
learn,Logloss,76,0.008011121875850057
learn,Logloss,77,0.007987718747198029
learn,Logloss,78,0.007958879573655587
learn,Logloss,79,0.007942720854522294
learn,Logloss,80,0.007879690133718958
learn,Logloss,81,0.00785573833661262
learn,Logloss,82,0.007839554809038949
learn,Logloss,83,0.007820049311037958
learn,Logloss,84,0.007805599289414263
learn,Logloss,85,0.007755298088862226
learn,Logloss,86,0.00774631734858723
learn,Logloss,87,0.007729467805461731
learn,Logloss,88,0.0076744318493366555
learn,Logloss,89,0.007648438076952891
learn,Logloss,90,0.007582612628746247
learn,Logloss,91,0.00753842502938621
learn,Logloss,92,0.007477733995125946
learn,Logloss,93,0.007438434415312384
learn,Logloss,94,0.0074254797006846306
learn,Logloss,95,0.007390516135965383
learn,Logloss,96,0.007367503154775132
learn,Logloss,97,0.007340925799395376
learn,Logloss,98,0.007295586980186963
learn,Logloss,99,0.007280811524168136
learn,Logloss,100,0.007208864657092675
learn,Logloss,101,0.007144401477389754
learn,Logloss,102,0.007102485867855047
learn,Logloss,103,0.007042371768334292
learn,Logloss,104,0.007028580558009845
learn,Logloss,105,0.006995533277542134
learn,Logloss,106,0.006965857238123226
learn,Logloss,107,0.006946416975995448
learn,Logloss,108,0.006909661796589354
learn,Logloss,109,0.006902077104152042
learn,Logloss,110,0.0068700057148054425
learn,Logloss,111,0.006836253682142429
learn,Logloss,112,0.006813481036004771
learn,Logloss,113,0.006801213311142349
learn,Logloss,114,0.006755598367520609
learn,Logloss,115,0.006746303436334133
learn,Logloss,116,0.006713588131266451
learn,Logloss,117,0.00669033397029445
learn,Logloss,118,0.00668159531993539
learn,Logloss,119,0.006647081155358792
learn,Logloss,120,0.006634577798478065
learn,Logloss,121,0.006627181961872503
learn,Logloss,122,0.006592336645973124
learn,Logloss,123,0.006575949007698473
learn,Logloss,124,0.006558201697854142
learn,Logloss,125,0.006548028238842708
learn,Logloss,126,0.006515008045175931
learn,Logloss,127,0.006506998296341958
learn,Logloss,128,0.006479942082171106
learn,Logloss,129,0.006467955304122644
learn,Logloss,130,0.006460357531525751
learn,Logloss,131,0.006432392609279586
learn,Logloss,132,0.0064008140735240145
learn,Logloss,133,0.006381106887786353
learn,Logloss,134,0.006373501027395345
learn,Logloss,135,0.006358478925253973
learn,Logloss,136,0.006335639702928512
learn,Logloss,137,0.006321646308787908
learn,Logloss,138,0.006310837688772077
learn,Logloss,139,0.006300761438564493
learn,Logloss,140,0.006282151329079287
learn,Logloss,141,0.006270088578248767
learn,Logloss,142,0.006253950217993955
learn,Logloss,143,0.006240746863676837
learn,Logloss,144,0.006228271699796549
learn,Logloss,145,0.00621565196049495
learn,Logloss,146,0.006206603327159371
learn,Logloss,147,0.0061940267057273455
learn,Logloss,148,0.006164290968658263
learn,Logloss,149,0.006163751727824667
learn,Logloss,150,0.006140586498975466
learn,Logloss,151,0.006119459087455081
learn,Logloss,152,0.0060802934500015955
learn,Logloss,153,0.006074398856982707
learn,Logloss,154,0.006068829113378576
learn,Logloss,155,0.006052234094175873
learn,Logloss,156,0.006044474554237139
learn,Logloss,157,0.006019156904620194
learn,Logloss,158,0.005996240340769271
learn,Logloss,159,0.005984309135087277
learn,Logloss,160,0.005966966524332511
learn,Logloss,161,0.005961921003129447
learn,Logloss,162,0.005955272173810644
learn,Logloss,163,0.005949149776512276
learn,Logloss,164,0.005933445606917777
learn,Logloss,165,0.005925965230937629
learn,Logloss,166,0.005916361803471577
learn,Logloss,167,0.005903022199229548
learn,Logloss,168,0.005894140995968448
learn,Logloss,169,0.005884500399483568
learn,Logloss,170,0.0058776714360984274
learn,Logloss,171,0.005855441765644299
learn,Logloss,172,0.0058444990595228966
learn,Logloss,173,0.005833273070414523
learn,Logloss,174,0.0058176196900094545
learn,Logloss,175,0.005795643473437681
learn,Logloss,176,0.005762643123278353
learn,Logloss,177,0.0057591887654902555
learn,Logloss,178,0.005749669447379649
learn,Logloss,179,0.005739812499489543
learn,Logloss,180,0.005730589700052467
learn,Logloss,181,0.005710635530858058
learn,Logloss,182,0.005694605995238453
learn,Logloss,183,0.005684957543699049
learn,Logloss,184,0.005661511599582279
learn,Logloss,185,0.00565282970785704
learn,Logloss,186,0.005645002123094578
learn,Logloss,187,0.0056318234176872045
learn,Logloss,188,0.005622178001643527
learn,Logloss,189,0.005606074031785952
learn,Logloss,190,0.005600866543893887
learn,Logloss,191,0.005595149735532867
learn,Logloss,192,0.005581262618753928
learn,Logloss,193,0.00557404724519971
learn,Logloss,194,0.005567163020318824
learn,Logloss,195,0.005562871922729496
learn,Logloss,196,0.005542694950312256
learn,Logloss,197,0.005539365431392129
learn,Logloss,198,0.005527057429697109
learn,Logloss,199,0.00551205168036299
learn,Logloss,200,0.005488614585058963
learn,Logloss,201,0.005483169839949116
learn,Logloss,202,0.005477781910374037
learn,Logloss,203,0.005470518065477789
learn,Logloss,204,0.005454651119066811
learn,Logloss,205,0.005443048113923074
learn,Logloss,206,0.005438478780402729
learn,Logloss,207,0.005432536147100699
learn,Logloss,208,0.005428925785753466
learn,Logloss,209,0.005422114696456557
learn,Logloss,210,0.005418371743266734
learn,Logloss,211,0.005406963915737905
learn,Logloss,212,0.005394000926111346
learn,Logloss,213,0.005383192514409951
learn,Logloss,214,0.0053807979094983235
learn,Logloss,215,0.00537095702143073
learn,Logloss,216,0.005357976313217794
learn,Logloss,217,0.005348751514665698
learn,Logloss,218,0.005315681812188123
learn,Logloss,219,0.005310463121451943
learn,Logloss,220,0.00530125765904466
learn,Logloss,221,0.005290183772784616
learn,Logloss,222,0.005283113302688555
learn,Logloss,223,0.005275197905587938
learn,Logloss,224,0.0052709472953331666
learn,Logloss,225,0.005268401755371417
learn,Logloss,226,0.005264135852237284
learn,Logloss,227,0.005258698729918555
learn,Logloss,228,0.00525612242242837
learn,Logloss,229,0.005247240829388341
learn,Logloss,230,0.00524469113177128
learn,Logloss,231,0.005236578537471822
learn,Logloss,232,0.005233873921601918
learn,Logloss,233,0.0052311509371383
learn,Logloss,234,0.005213964375188651
learn,Logloss,235,0.005207994300819337
learn,Logloss,236,0.005200117534849848
learn,Logloss,237,0.005194495000486129
learn,Logloss,238,0.005190165638470025
learn,Logloss,239,0.005184520556933736
learn,Logloss,240,0.005178490311153293
learn,Logloss,241,0.005163582131805116
learn,Logloss,242,0.0051512139368066765
learn,Logloss,243,0.005133287419571457
learn,Logloss,244,0.005128300097574087
learn,Logloss,245,0.0051250357871023625
learn,Logloss,246,0.005116329142477675
learn,Logloss,247,0.005111862311332779
learn,Logloss,248,0.005109880982155539
learn,Logloss,249,0.005105673079555375
learn,Logloss,250,0.005099981709869633
learn,Logloss,251,0.005086072606663329
learn,Logloss,252,0.005074983600280742
learn,Logloss,253,0.00506000183930988
learn,Logloss,254,0.005053638397119448
learn,Logloss,255,0.005044571255490132
learn,Logloss,256,0.005042154211614593
learn,Logloss,257,0.0050391844040998165
learn,Logloss,258,0.005036068995692651
learn,Logloss,259,0.005026172014507316
learn,Logloss,260,0.005020120178583317
learn,Logloss,261,0.005006954978420057
learn,Logloss,262,0.0050020452420219755
learn,Logloss,263,0.004995497705737586
learn,Logloss,264,0.00498991047824003
learn,Logloss,265,0.0049871711174724435
learn,Logloss,266,0.0049811304604732674
learn,Logloss,267,0.004978110225270189
learn,Logloss,268,0.004976269581023692
learn,Logloss,269,0.004972127233080064
learn,Logloss,270,0.004962716792977434
learn,Logloss,271,0.004951328771558775
learn,Logloss,272,0.004945437938326322
learn,Logloss,273,0.004942068869103218
learn,Logloss,274,0.004932988599864914
learn,Logloss,275,0.00492912000030093
learn,Logloss,276,0.004925042492346508
learn,Logloss,277,0.0049234263490743795
learn,Logloss,278,0.004919337492977221
learn,Logloss,279,0.004913159767415648
learn,Logloss,280,0.004891999228389154
learn,Logloss,281,0.004887061782166413
learn,Logloss,282,0.004885336847458781
learn,Logloss,283,0.004880929122155291
learn,Logloss,284,0.004875894255398737
learn,Logloss,285,0.0048726921220261414
learn,Logloss,286,0.004864685814207421
learn,Logloss,287,0.004858637827179639
learn,Logloss,288,0.004852787849858777
learn,Logloss,289,0.004848069104986773
learn,Logloss,290,0.004840330107577412
learn,Logloss,291,0.004838386937924246
learn,Logloss,292,0.004835664751882514
learn,Logloss,293,0.004831882464999611
